ENTRY,LINE,POST_DATE,ACCOUNT,USER,DESCR,DOC,AMOUNT,CURRENCY,ENTRY_TYPE
JE000001,1,2026-01-05,6100,JDOE,Monthly office rent,RENT-202601,8500.00,USD,manual
JE000001,2,2026-01-05,1000,JDOE,Monthly office rent,RENT-202601,-8500.00,USD,manual
JE000002,1,2026-01-05,1200,SAPUSER,Billing document posting,INV-000001,2552.23,USD,system
JE000002,2,2026-01-05,4000,SAPUSER,Billing document posting,INV-000001,-2552.23,USD,system
JE000003,1,2026-01-05,1200,SAPUSER,Customer billing,INV-000002,2395.83,USD,system
JE000003,2,2026-01-05,4000,SAPUSER,Customer billing,INV-000002,-2395.83,USD,system
JE000004,1,2026-01-05,1200,SAPUSER,Customer billing,INV-000003,6939.15,USD,system
JE000004,2,2026-01-05,4000,SAPUSER,Customer billing,INV-000003,-6939.15,USD,system
JE000005,1,2026-01-05,1200,SAPUSER,Billing document posting,INV-000004,1638.22,USD,system
JE000005,2,2026-01-05,4000,SAPUSER,Billing document posting,INV-000004,-1638.22,USD,system
JE000006,1,2026-01-05,1200,SAPUSER,Customer billing,INV-000005,1462.34,USD,system
JE000006,2,2026-01-05,4000,SAPUSER,Customer billing,INV-000005,-1462.34,USD,system
JE000007,1,2026-01-05,1200,SAPUSER,Customer billing,INV-000006,1262.21,USD,system
JE000007,2,2026-01-05,4000,SAPUSER,Customer billing,INV-000006,-1262.21,USD,system
JE000008,1,2026-01-05,1200,SAPUSER,Customer billing,INV-000007,4412.31,USD,system
JE000008,2,2026-01-05,4000,SAPUSER,Customer billing,INV-000007,-4412.31,USD,system
JE000009,1,2026-01-05,1200,SAPUSER,Customer billing,INV-000008,5020.41,USD,system
JE000009,2,2026-01-05,4000,SAPUSER,Customer billing,INV-000008,-5020.41,USD,system
JE000010,1,2026-01-05,1200,SAPUSER,Customer billing,INV-000009,3692.53,USD,system
JE000010,2,2026-01-05,4000,SAPUSER,Customer billing,INV-000009,-3692.53,USD,system
JE000011,1,2026-01-05,1200,SAPUSER,Sales invoice,INV-001871,1858.11,USD,system
JE000011,2,2026-01-05,4000,SAPUSER,Sales invoice,INV-001871,-1858.11,USD,system
JE000012,1,2026-01-05,1200,SAPUSER,Billing document posting,INV-001872,8154.13,USD,system
JE000012,2,2026-01-05,4000,SAPUSER,Billing document posting,INV-001872,-8154.13,USD,system
