REF,LINE,DATE,DOCDAT,ACCT,USER,DESC,DOCREF,AMOUNT,CUR,TYPE
B0000000,1,2024-08-17,2024-08-17,610000,M.BENNANI,service fee,B0000000D,-114402.64,USD,manual
B0000000,2,2024-08-17,2024-08-17,51410000,M.BENNANI,service fee,B0000000D,114402.64,USD,manual
B0000001,1,2024-08-06,2024-08-06,450000,H.AITLA,office supplies,B0000001D,-4449.13,USD,manual
B0000001,2,2024-08-06,2024-08-06,51410000,H.AITLA,office supplies,B0000001D,4449.13,USD,manual
B0000002,1,2024-11-12,2024-11-12,400000,S.ELFASI,office supplies,B0000002D,-103950.59,USD,manual
B0000002,2,2024-11-12,2024-11-12,51410000,S.ELFASI,office supplies,B0000002D,103950.59,USD,manual
B0000003,1,2024-03-23,2024-03-23,450000,H.AITLA,office supplies,B0000003D,-40987.92,USD,manual
B0000003,2,2024-03-23,2024-03-23,51410000,H.AITLA,office supplies,B0000003D,40987.92,USD,manual
B0000004,1,2024-12-21,2024-12-21,450000,Z.BERRADA,office supplies,B0000004D,-11556.55,USD,manual
B0000004,2,2024-12-21,2024-12-21,51410000,Z.BERRADA,office supplies,B0000004D,11556.55,USD,manual
B0000005,1,2024-05-23,2024-05-23,610000,M.BENNANI,utility fee,B0000005D,-9543.60,USD,manual
B0000005,2,2024-05-23,2024-05-23,51410000,M.BENNANI,utility fee,B0000005D,9543.60,USD,manual
B0000006,1,2024-03-26,2024-03-26,420000,K.MANSOURI,supplier invoice,B0000006D,-10239.17,USD,manual
B0000006,2,2024-03-26,2024-03-26,51410000,K.MANSOURI,supplier invoice,B0000006D,10239.17,USD,manual
B0000007,1,2024-12-17,2024-12-17,610000,Z.BERRADA,office supplies,B0000007D,-18932.32,USD,manual
B0000007,2,2024-12-17,2024-12-17,51410000,Z.BERRADA,office supplies,B0000007D,18932.32,USD,manual
B0000008,1,2024-01-26,2024-01-26,400000,M.BENNANI,rent charge,B0000008D,-20251.42,USD,manual
B0000008,2,2024-01-26,2024-01-26,51410000,M.BENNANI,rent charge,B0000008D,20251.42,USD,manual
B0000009,1,2024-06-10,2024-06-10,620000,Z.BERRADA,supplier invoice,B0000009D,-55041.87,USD,manual
B0000009,2,2024-06-10,2024-06-10,51410000,Z.BERRADA,supplier invoice,B0000009D,55041.87,USD,manual
B0000010,1,2024-02-14,2024-02-14,420000,Z.BERRADA,service fee,B0000010D,-39888.44,USD,manual
B0000010,2,2024-02-14,2024-02-14,51410000,Z.BERRADA,service fee,B0000010D,39888.44,USD,manual
B0000011,1,2024-02-26,2024-02-26,450000,M.BENNANI,service fee,B0000011D,-34183.02,USD,manual
B0000011,2,2024-02-26,2024-02-26,51410000,M.BENNANI,service fee,B0000011D,34183.02,USD,manual
B0000012,1,2024-04-20,2024-04-20,620000,H.AITLA,rent charge,B0000012D,-49512.79,USD,manual
B0000012,2,2024-04-20,2024-04-20,51410000,H.AITLA,rent charge,B0000012D,49512.79,USD,manual
B0000013,1,2024-04-09,2024-04-09,400000,M.BENNANI,service fee,B0000013D,-25129.57,USD,manual
B0000013,2,2024-04-09,2024-04-09,51410000,M.BENNANI,service fee,B0000013D,25129.57,USD,manual
