REF,LINE,DATE,ACCT,USER,DESC,DOCREF,AMOUNT,CUR,TYPE
B0000000,1,2024-04-11,450000,S.ELFASI,service fee,B0000000D,-815.03,USD,manual
B0000000,2,2024-04-11,51410000,S.ELFASI,service fee,B0000000D,815.03,USD,manual
B0000001,1,2024-05-08,450000,K.MANSOURI,supplier invoice,B0000001D,-20750.68,USD,manual
B0000001,2,2024-05-08,51410000,K.MANSOURI,supplier invoice,B0000001D,20750.68,USD,manual
B0000002,1,2024-02-09,610000,K.MANSOURI,supplier invoice,B0000002D,-18045.02,USD,manual
B0000002,2,2024-02-09,51410000,K.MANSOURI,supplier invoice,B0000002D,18045.02,USD,manual
B0000003,1,2024-11-23,620000,H.AITLA,utility fee,B0000003D,-20832.43,USD,manual
B0000003,2,2024-11-23,51410000,H.AITLA,utility fee,B0000003D,20832.43,USD,manual
B0000004,1,2024-08-09,420000,K.MANSOURI,utility fee,B0000004D,-27318.29,USD,manual
B0000004,2,2024-08-09,51410000,K.MANSOURI,utility fee,B0000004D,27318.29,USD,manual
B0000005,1,2024-06-15,420000,S.ELFASI,service fee,B0000005D,-20180.99,USD,manual
B0000005,2,2024-06-15,51410000,S.ELFASI,service fee,B0000005D,20180.99,USD,manual
B0000006,1,2024-02-20,620000,K.MANSOURI,service fee,B0000006D,-5430.78,USD,manual
B0000006,2,2024-02-20,51410000,K.MANSOURI,service fee,B0000006D,5430.78,USD,manual
B0000007,1,2024-05-18,610000,H.AITLA,rent charge,B0000007D,-40029.69,USD,manual
B0000007,2,2024-05-18,51410000,H.AITLA,rent charge,B0000007D,40029.69,USD,manual
B0000008,1,2024-12-06,450000,Z.BERRADA,office supplies,B0000008D,-22041.24,USD,manual
B0000008,2,2024-12-06,51410000,Z.BERRADA,office supplies,B0000008D,22041.24,USD,manual
B0000009,1,2024-08-03,450000,M.BENNANI,office supplies,B0000009D,-26767.82,USD,manual
B0000009,2,2024-08-03,51410000,M.BENNANI,office supplies,B0000009D,26767.82,USD,manual
B0000010,1,2024-02-19,450000,Z.BERRADA,office supplies,B0000010D,-6231.40,USD,manual
B0000010,2,2024-02-19,51410000,Z.BERRADA,office supplies,B0000010D,6231.40,USD,manual
B0000011,1,2024-08-08,400000,S.ELFASI,rent charge,B0000011D,-29424.92,USD,manual
B0000011,2,2024-08-08,51410000,S.ELFASI,rent charge,B0000011D,29424.92,USD,manual
B0000012,1,2024-07-08,450000,S.ELFASI,office supplies,B0000012D,-28730.62,USD,manual
B0000012,2,2024-07-08,51410000,S.ELFASI,office supplies,B0000012D,28730.62,USD,manual
B0000013,1,2024-08-04,400000,H.AITLA,rent charge,B0000013D,-22500.87,USD,manual
B0000013,2,2024-08-04,51410000,H.AITLA,rent charge,B0000013D,22500.87,USD,manual
B0000014,1,2024-01-17,420000,Z.BERRADA,rent charge,B0000014D,-29546.85,USD,manual
B0000014,2,2024-01-17,51410000,Z.BERRADA,rent charge,B0000014D,29546.85,USD,manual
B0000015,1,2024-05-03,400000,Z.BERRADA,service fee,B0000015D,-5324.85,USD,manual
B0000015,2,2024-05-03,51410000,Z.BERRADA,service fee,B0000015D,5324.85,USD,manual
B0000016,1,2024-07-06,610000,S.ELFASI,utility fee,B0000016D,-34001.84,USD,manual
B0000016,2,2024-07-06,51410000,S.ELFASI,utility fee,B0000016D,34001.84,USD,manual
B0000017,1,2024-12-09,610000,S.ELFASI,rent charge,B0000017D,-15677.90,USD,manual
B0000017,2,2024-12-09,51410000,S.ELFASI,rent charge,B0000017D,15677.90,USD,manual
B0000018,1,2024-03-14,620000,H.AITLA,service fee,B0000018D,-23654.62,USD,manual
B0000018,2,2024-03-14,51410000,H.AITLA,service fee,B0000018D,23654.62,USD,manual
B0000019,1,2024-09-03,400000,H.AITLA,supplier invoice,B0000019D,-31457.74,USD,manual
B0000019,2,2024-09-03,51410000,H.AITLA,supplier invoice,B0000019D,31457.74,USD,manual
B0000020,1,2024-12-12,400000,Z.BERRADA,office supplies,B0000020D,-19654.82,USD,manual
B0000020,2,2024-12-12,51410000,Z.BERRADA,office supplies,B0000020D,19654.82,USD,manual
B0000021,1,2024-04-19,620000,H.AITLA,rent charge,B0000021D,-32531.83,USD,manual
