REF,LINE,DATE,ACCT,USER,DESC,DOCREF,AMOUNT,CUR,TYPE
B0000000,1,2024-01-06,400000,Z.BERRADA,supplier invoice,B0000000D,-6888.48,USD,manual
B0000000,2,2024-01-06,51410000,Z.BERRADA,supplier invoice,B0000000D,6888.48,USD,manual
B0000001,1,2024-03-10,620000,H.AITLA,rent charge,B0000001D,-23870.96,USD,manual
B0000001,2,2024-03-10,51410000,H.AITLA,rent charge,B0000001D,23870.96,USD,manual
B0000002,1,2024-03-14,420000,K.MANSOURI,service fee,B0000002D,-25551.30,USD,manual
B0000002,2,2024-03-14,51410000,K.MANSOURI,service fee,B0000002D,25551.30,USD,manual
B0000003,1,2024-08-04,450000,M.BENNANI,service fee,B0000003D,-41506.67,USD,manual
B0000003,2,2024-08-04,51410000,M.BENNANI,service fee,B0000003D,41506.67,USD,manual
B0000004,1,2024-10-23,420000,M.BENNANI,service fee,B0000004D,-29452.09,USD,manual
B0000004,2,2024-10-23,51410000,M.BENNANI,service fee,B0000004D,29452.09,USD,manual
B0000005,1,2024-06-24,450000,H.AITLA,office supplies,B0000005D,-23016.43,USD,manual
B0000005,2,2024-06-24,51410000,H.AITLA,office supplies,B0000005D,23016.43,USD,manual
B0000006,1,2024-04-24,620000,M.BENNANI,utility fee,B0000006D,-41921.74,USD,manual
B0000006,2,2024-04-24,51410000,M.BENNANI,utility fee,B0000006D,41921.74,USD,manual
B0000007,1,2024-12-07,610000,K.MANSOURI,office supplies,B0000007D,-27922.58,USD,manual
B0000007,2,2024-12-07,51410000,K.MANSOURI,office supplies,B0000007D,27922.58,USD,manual
B0000008,1,2024-12-15,620000,Z.BERRADA,utility fee,B0000008D,-5046.07,USD,manual
B0000008,2,2024-12-15,51410000,Z.BERRADA,utility fee,B0000008D,5046.07,USD,manual
B0000009,1,2024-12-19,610000,H.AITLA,utility fee,B0000009D,-11738.34,USD,manual
B0000009,2,2024-12-19,51410000,H.AITLA,utility fee,B0000009D,11738.34,USD,manual
B0000010,1,2024-12-19,450000,K.MANSOURI,utility fee,B0000010D,-10499.46,USD,manual
B0000010,2,2024-12-19,51410000,K.MANSOURI,utility fee,B0000010D,10499.46,USD,manual
B0000011,1,2024-10-06,450000,Z.BERRADA,office supplies,B0000011D,-41445.63,USD,manual
B0000011,2,2024-10-06,51410000,Z.BERRADA,office supplies,B0000011D,41445.63,USD,manual
B0000012,1,2024-10-08,450000,M.BENNANI,rent charge,B0000012D,-2888.32,USD,manual
B0000012,2,2024-10-08,51410000,M.BENNANI,rent charge,B0000012D,2888.32,USD,manual
B0000013,1,2024-05-26,620000,H.AITLA,office supplies,B0000013D,-13861.23,USD,manual
B0000013,2,2024-05-26,51410000,H.AITLA,office supplies,B0000013D,13861.23,USD,manual
B0000014,1,2024-08-21,610000,K.MANSOURI,supplier invoice,B0000014D,-7631.25,USD,manual
B0000014,2,2024-08-21,51410000,K.MANSOURI,supplier invoice,B0000014D,7631.25,USD,manual
B0000015,1,2024-12-12,610000,Z.BERRADA,rent charge,B0000015D,-10674.45,USD,manual
B0000015,2,2024-12-12,51410000,Z.BERRADA,rent charge,B0000015D,10674.45,USD,manual
B0000016,1,2024-09-15,450000,S.ELFASI,supplier invoice,B0000016D,-20814.74,USD,manual
B0000016,2,2024-09-15,51410000,S.ELFASI,supplier invoice,B0000016D,20814.74,USD,manual
B0000017,1,2024-04-14,620000,Z.BERRADA,rent charge,B0000017D,-20463.87,USD,manual
B0000017,2,2024-04-14,51410000,Z.BERRADA,rent charge,B0000017D,20463.87,USD,manual
B0000018,1,2024-05-19,610000,S.ELFASI,service fee,B0000018D,-37002.26,USD,manual
B0000018,2,2024-05-19,51410000,S.ELFASI,service fee,B0000018D,37002.26,USD,manual
B0000019,1,2024-11-15,610000,S.ELFASI,office supplies,B0000019D,-12659.42,USD,manual
B0000019,2,2024-11-15,51410000,S.ELFASI,office supplies,B0000019D,12659.42,USD,manual
B0000020,1,2024-07-08,610000,M.BENNANI,rent charge,B0000020D,-27153.98,USD,manual
B0000020,2,2024-07-08,51410000,M.BENNANI,rent charge,B0000020D,27153.98,USD,manual
B0000021,1,2024-02-12,400000,M.BENNANI,utility fee,B0000021D,-30267.91,USD,manual
B0000021,2,2024-02-12,51410000,M.BENNANI,utility fee,B0000021D,30267.91,USD,manual
B0000022,1,2024-01-02,610000,M.BENNANI,rent charge,B0000022D,-20634.00,USD,manual
B0000022,2,2024-01-02,51410000,M.BENNANI,rent charge,B0000022D,20634.00,USD,manual
B0000023,1,2024-09-13,610000,K.MANSOURI,utility fee,B0000023D,-10678.50,USD,manual
B0000023,2,2024-09-13,51410000,K.MANSOURI,utility fee,B0000023D,10678.50,USD,manual
B0000024,1,2024-05-13,620000,M.BENNANI,supplier invoice,B0000024D,-31680.80,USD,manual
B0000024,2,2024-05-13,51410000,M.BENNANI,supplier invoice,B0000024D,31680.80,USD,manual
B0000025,1,2024-01-04,620000,K.MANSOURI,rent charge,B0000025D,-23916.17,USD,manual
B0000025,2,2024-01-04,51410000,K.MANSOURI,rent charge,B0000025D,23916.17,USD,manual
B0000026,1,2024-11-19,620000,S.ELFASI,supplier invoice,B0000026D,-28520.61,USD,manual
B0000026,2,2024-11-19,51410000,S.ELFASI,supplier invoice,B0000026D,28520.61,USD,manual
B0000027,1,2024-03-22,400000,S.ELFASI,service fee,B0000027D,-4336.79,USD,manual
B0000027,2,2024-03-22,51410000,S.ELFASI,service fee,B0000027D,4336.79,USD,manual
B0000028,1,2024-02-02,450000,S.ELFASI,rent charge,B0000028D,-31129.82,USD,manual
B0000028,2,2024-02-02,51410000,S.ELFASI,rent charge,B0000028D,31129.82,USD,manual
B0000029,1,2024-04-17,610000,K.MANSOURI,supplier invoice,B0000029D,-10361.14,USD,manual
B0000029,2,2024-04-17,51410000,K.MANSOURI,supplier invoice,B0000029D,10361.14,USD,manual
B0000030,1,2024-01-15,420000,Z.BERRADA,office supplies,B0000030D,-9593.91,USD,manual
B0000030,2,2024-01-15,51410000,Z.BERRADA,office supplies,B0000030D,9593.91,USD,manual
B0000031,1,2024-09-22,450000,K.MANSOURI,supplier invoice,B0000031D,-39074.80,USD,manual
B0000031,2,2024-09-22,51410000,K.MANSOURI,supplier invoice,B0000031D,39074.80,USD,manual
B0000032,1,2024-05-19,400000,H.AITLA,office supplies,B0000032D,-21146.90,USD,manual
B0000032,2,2024-05-19,51410000,H.AITLA,office supplies,B0000032D,21146.90,USD,manual
B0000033,1,2024-07-04,620000,H.AITLA,service fee,B0000033D,-15668.99,USD,manual
B0000033,2,2024-07-04,51410000,H.AITLA,service fee,B0000033D,15668.99,USD,manual
B0000034,1,2024-07-04,400000,K.MANSOURI,utility fee,B0000034D,-39031.72,USD,manual
B0000034,2,2024-07-04,51410000,K.MANSOURI,utility fee,B0000034D,39031.72,USD,manual
B0000035,1,2024-01-04,420000,H.AITLA,utility fee,B0000035D,-30534.53,USD,manual
B0000035,2,2024-01-04,51410000,H.AITLA,utility fee,B0000035D,30534.53,USD,manual
B0000036,1,2024-03-09,420000,Z.BERRADA,supplier invoice,B0000036D,-5230.80,USD,manual
B0000036,2,2024-03-09,51410000,Z.BERRADA,supplier invoice,B0000036D,5230.80,USD,manual
B0000037,1,2024-12-21,400000,S.ELFASI,office supplies,B0000037D,-22081.19,USD,manual
B0000037,2,2024-12-21,51410000,S.ELFASI,office supplies,B0000037D,22081.19,USD,manual
B0000038,1,2024-08-03,450000,H.AITLA,rent charge,B0000038D,-19010.29,USD,manual
B0000038,2,2024-08-03,51410000,H.AITLA,rent charge,B0000038D,19010.29,USD,manual
B0000039,1,2024-09-13,420000,M.BENNANI,office supplies,B0000039D,-12941.08,USD,manual
B0000039,2,2024-09-13,51410000,M.BENNANI,office supplies,B0000039D,12941.08,USD,manual
B0000040,1,2024-08-07,610000,M.BENNANI,service fee,B0000040D,-20004.08,USD,manual
B0000040,2,2024-08-07,51410000,M.BENNANI,service fee,B0000040D,20004.08,USD,manual
B0000041,1,2024-09-03,400000,S.ELFASI,supplier invoice,B0000041D,-36521.82,USD,manual
B0000041,2,2024-09-03,51410000,S.ELFASI,supplier invoice,B0000041D,36521.82,USD,manual
B0000042,1,2024-08-18,610000,M.BENNANI,utility fee,B0000042D,-38952.59,USD,manual
B0000042,2,2024-08-18,51410000,M.BENNANI,utility fee,B0000042D,38952.59,USD,manual
B0000043,1,2024-10-22,400000,S.ELFASI,office supplies,B0000043D,-19686.17,USD,manual
B0000043,2,2024-10-22,51410000,S.ELFASI,office supplies,B0000043D,19686.17,USD,manual
B0000044,1,2024-01-05,610000,Z.BERRADA,rent charge,B0000044D,-36579.59,USD,manual
B0000044,2,2024-01-05,51410000,Z.BERRADA,rent charge,B0000044D,36579.59,USD,manual
B0000045,1,2024-04-15,420000,K.MANSOURI,rent charge,B0000045D,-38139.89,USD,manual
B0000045,2,2024-04-15,51410000,K.MANSOURI,rent charge,B0000045D,38139.89,USD,manual
B0000046,1,2024-01-19,450000,S.ELFASI,office supplies,B0000046D,-41559.56,USD,manual
B0000046,2,2024-01-19,51410000,S.ELFASI,office supplies,B0000046D,41559.56,USD,manual
B0000047,1,2024-10-13,420000,M.BENNANI,office supplies,B0000047D,-29919.29,USD,manual
B0000047,2,2024-10-13,51410000,M.BENNANI,office supplies,B0000047D,29919.29,USD,manual
B0000048,1,2024-06-06,420000,M.BENNANI,service fee,B0000048D,-3151.71,USD,manual
B0000048,2,2024-06-06,51410000,M.BENNANI,service fee,B0000048D,3151.71,USD,manual
B0000049,1,2024-05-24,620000,Z.BERRADA,rent charge,B0000049D,-28212.29,USD,manual
B0000049,2,2024-05-24,51410000,Z.BERRADA,rent charge,B0000049D,28212.29,USD,manual
B0000050,1,2024-01-21,450000,K.MANSOURI,supplier invoice,B0000050D,-6227.51,USD,manual
B0000050,2,2024-01-21,51410000,K.MANSOURI,supplier invoice,B0000050D,6227.51,USD,manual
B0000051,1,2024-12-05,610000,H.AITLA,service fee,B0000051D,-1853.99,USD,manual
B0000051,2,2024-12-05,51410000,H.AITLA,service fee,B0000051D,1853.99,USD,manual
B0000052,1,2024-06-02,610000,K.MANSOURI,utility fee,B0000052D,-33640.29,USD,manual
B0000052,2,2024-06-02,51410000,K.MANSOURI,utility fee,B0000052D,33640.29,USD,manual
B0000053,1,2024-04-21,450000,S.ELFASI,office supplies,B0000053D,-41931.99,USD,manual
B0000053,2,2024-04-21,51410000,S.ELFASI,office supplies,B0000053D,41931.99,USD,manual
B0000054,1,2024-09-22,420000,S.ELFASI,supplier invoice,B0000054D,-34072.69,USD,manual
B0000054,2,2024-09-22,51410000,S.ELFASI,supplier invoice,B0000054D,34072.69,USD,manual
B0000055,1,2024-10-21,620000,S.ELFASI,rent charge,B0000055D,-15989.62,USD,manual
B0000055,2,2024-10-21,51410000,S.ELFASI,rent charge,B0000055D,15989.62,USD,manual
B0000056,1,2024-07-25,620000,H.AITLA,service fee,B0000056D,-29097.54,USD,manual
B0000056,2,2024-07-25,51410000,H.AITLA,service fee,B0000056D,29097.54,USD,manual
B0000057,1,2024-06-12,610000,S.ELFASI,service fee,B0000057D,-33272.97,USD,manual
B0000057,2,2024-06-12,51410000,S.ELFASI,service fee,B0000057D,33272.97,USD,manual
B0000058,1,2024-03-12,620000,K.MANSOURI,supplier invoice,B0000058D,-20525.22,USD,manual
B0000058,2,2024-03-12,51410000,K.MANSOURI,supplier invoice,B0000058D,20525.22,USD,manual
B0000059,1,2024-06-03,400000,S.ELFASI,utility fee,B0000059D,-41402.23,USD,manual
B0000059,2,2024-06-03,51410000,S.ELFASI,utility fee,B0000059D,41402.23,USD,manual
B0000060,1,2024-06-12,450000,Z.BERRADA,service fee,B0000060D,-25161.53,USD,manual
B0000060,2,2024-06-12,51410000,Z.BERRADA,service fee,B0000060D,25161.53,USD,manual
B0000061,1,2024-12-05,610000,M.BENNANI,service fee,B0000061D,-18403.27,USD,manual
B0000061,2,2024-12-05,51410000,M.BENNANI,service fee,B0000061D,18403.27,USD,manual
B0000062,1,2024-01-03,420000,Z.BERRADA,office supplies,B0000062D,-20205.83,USD,manual
B0000062,2,2024-01-03,51410000,Z.BERRADA,office supplies,B0000062D,20205.83,USD,manual
B0000063,1,2024-01-15,620000,H.AITLA,rent charge,B0000063D,-2247.70,USD,manual
B0000063,2,2024-01-15,51410000,H.AITLA,rent charge,B0000063D,2247.70,USD,manual
B0000064,1,2024-06-04,400000,Z.BERRADA,office supplies,B0000064D,-15795.57,USD,manual
B0000064,2,2024-06-04,51410000,Z.BERRADA,office supplies,B0000064D,15795.57,USD,manual
B0000065,1,2024-11-23,400000,M.BENNANI,office supplies,B0000065D,-37578.72,USD,manual
B0000065,2,2024-11-23,51410000,M.BENNANI,office supplies,B0000065D,37578.72,USD,manual
B0000066,1,2024-06-03,610000,H.AITLA,service fee,B0000066D,-34976.09,USD,manual
B0000066,2,2024-06-03,51410000,H.AITLA,service fee,B0000066D,34976.09,USD,manual
B0000067,1,2024-12-12,420000,Z.BERRADA,service fee,B0000067D,-9265.69,USD,manual
B0000067,2,2024-12-12,51410000,Z.BERRADA,service fee,B0000067D,9265.69,USD,manual
B0000068,1,2024-04-02,610000,S.ELFASI,service fee,B0000068D,-26728.45,USD,manual
B0000068,2,2024-04-02,51410000,S.ELFASI,service fee,B0000068D,26728.45,USD,manual
B0000069,1,2024-08-03,610000,Z.BERRADA,supplier invoice,B0000069D,-39506.80,USD,manual
B0000069,2,2024-08-03,51410000,Z.BERRADA,supplier invoice,B0000069D,39506.80,USD,manual
B0000070,1,2024-11-08,450000,S.ELFASI,rent charge,B0000070D,-13357.63,USD,manual
B0000070,2,2024-11-08,51410000,S.ELFASI,rent charge,B0000070D,13357.63,USD,manual
B0000071,1,2024-08-11,400000,M.BENNANI,utility fee,B0000071D,-7398.97,USD,manual
B0000071,2,2024-08-11,51410000,M.BENNANI,utility fee,B0000071D,7398.97,USD,manual
B0000072,1,2024-12-24,400000,Z.BERRADA,office supplies,B0000072D,-31880.92,USD,manual
B0000072,2,2024-12-24,51410000,Z.BERRADA,office supplies,B0000072D,31880.92,USD,manual
B0000073,1,2024-02-20,450000,K.MANSOURI,service fee,B0000073D,-13164.78,USD,manual
B0000073,2,2024-02-20,51410000,K.MANSOURI,service fee,B0000073D,13164.78,USD,manual
B0000074,1,2024-02-08,400000,H.AITLA,office supplies,B0000074D,-36945.18,USD,manual
B0000074,2,2024-02-08,51410000,H.AITLA,office supplies,B0000074D,36945.18,USD,manual
B0000075,1,2024-11-17,450000,H.AITLA,utility fee,B0000075D,-23000.86,USD,manual
B0000075,2,2024-11-17,51410000,H.AITLA,utility fee,B0000075D,23000.86,USD,manual
B0000076,1,2024-12-13,420000,S.ELFASI,rent charge,B0000076D,-26501.32,USD,manual
B0000076,2,2024-12-13,51410000,S.ELFASI,rent charge,B0000076D,26501.32,USD,manual
B0000077,1,2024-07-17,400000,S.ELFASI,supplier invoice,B0000077D,-4549.15,USD,manual
B0000077,2,2024-07-17,51410000,S.ELFASI,supplier invoice,B0000077D,4549.15,USD,manual
B0000078,1,2024-07-02,420000,K.MANSOURI,service fee,B0000078D,-18587.33,USD,manual
B0000078,2,2024-07-02,51410000,K.MANSOURI,service fee,B0000078D,18587.33,USD,manual
