REF,LINE,DATE,DOCDAT,ACCT,USER,DESC,DOCREF,AMOUNT,CUR,TYPE
B0000000,1,2024-01-25,2024-01-25,400000,Z.BERRADA,service fee,B0000000D,-40365.36,USD,manual
B0000000,2,2024-01-25,2024-01-25,51410000,Z.BERRADA,service fee,B0000000D,40365.36,USD,manual
B0000001,1,2024-05-14,2024-05-14,610000,K.MANSOURI,service fee,B0000001D,-54687.13,USD,manual
B0000001,2,2024-05-14,2024-05-14,51410000,K.MANSOURI,service fee,B0000001D,54687.13,USD,manual
B0000002,1,2024-08-26,2024-08-26,400000,S.ELFASI,service fee,B0000002D,-20875.94,USD,manual
B0000002,2,2024-08-26,2024-08-26,51410000,S.ELFASI,service fee,B0000002D,20875.94,USD,manual
B0000003,1,2024-06-25,2024-06-25,620000,WF-BATCH,rent charge,B0000003D,-25793.64,USD,system
B0000003,2,2024-06-25,2024-06-25,51410000,WF-BATCH,rent charge,B0000003D,25793.64,USD,system
B0000004,1,2024-03-25,2024-03-25,620000,M.BENNANI,rent charge,B0000004D,-5046.07,USD,manual
B0000004,2,2024-03-25,2024-03-25,51410000,M.BENNANI,rent charge,B0000004D,5046.07,USD,manual
B0000005,1,2024-11-19,2024-11-19,620000,K.MANSOURI,utility fee,B0000005D,-16101.01,USD,manual
B0000005,2,2024-11-19,2024-11-19,51410000,K.MANSOURI,utility fee,B0000005D,16101.01,USD,manual
B0000006,1,2024-09-08,2024-09-08,420000,Z.BERRADA,rent charge,B0000006D,-88378.21,USD,manual
B0000006,2,2024-09-08,2024-09-08,51410000,Z.BERRADA,rent charge,B0000006D,88378.21,USD,manual
B0000007,1,2024-11-03,2024-11-03,620000,S.ELFASI,utility fee,B0000007D,-81869.98,USD,manual
B0000007,2,2024-11-03,2024-11-03,51410000,S.ELFASI,utility fee,B0000007D,81869.98,USD,manual
B0000008,1,2024-11-18,2024-11-18,400000,M.BENNANI,service fee,B0000008D,-25068.98,USD,manual
B0000008,2,2024-11-18,2024-11-18,51410000,M.BENNANI,service fee,B0000008D,25068.98,USD,manual
B0000009,1,2024-03-25,2024-03-25,610000,K.MANSOURI,rent charge,B0000009D,-33518.85,USD,manual
B0000009,2,2024-03-25,2024-03-25,51410000,K.MANSOURI,rent charge,B0000009D,33518.85,USD,manual
B0000010,1,2024-04-14,2024-04-14,620000,S.ELFASI,rent charge,B0000010D,-94501.61,USD,manual
B0000010,2,2024-04-14,2024-04-14,51410000,S.ELFASI,rent charge,B0000010D,94501.61,USD,manual
B0000011,1,2024-09-02,2024-09-02,420000,H.AITLA,rent charge,B0000011D,-30267.91,USD,manual
B0000011,2,2024-09-02,2024-09-02,51410000,H.AITLA,rent charge,B0000011D,30267.91,USD,manual
B0000012,1,2024-10-11,2024-10-11,400000,M.BENNANI,office supplies,B0000012D,-30125.57,USD,manual
B0000012,2,2024-10-11,2024-10-11,51410000,M.BENNANI,office supplies,B0000012D,30125.57,USD,manual
B0000013,1,2024-12-15,2024-12-15,400000,S.ELFASI,office supplies,B0000013D,-22378.13,USD,manual
B0000013,2,2024-12-15,2024-12-15,51410000,S.ELFASI,office supplies,B0000013D,22378.13,USD,manual
B0000014,1,2024-08-05,2024-08-05,620000,Z.BERRADA,service fee,B0000014D,-1716.39,USD,manual
B0000014,2,2024-08-05,2024-08-05,51410000,Z.BERRADA,service fee,B0000014D,1716.39,USD,manual
B0000015,1,2024-02-03,2024-02-03,400000,H.AITLA,utility fee,B0000015D,-75165.38,USD,manual
B0000015,2,2024-02-03,2024-02-03,51410000,H.AITLA,utility fee,B0000015D,75165.38,USD,manual
B0000016,1,2024-01-01,2024-01-01,610000,M.BENNANI,supplier invoice,B0000016D,-34658.03,USD,manual
B0000016,2,2024-01-01,2024-01-01,51410000,M.BENNANI,supplier invoice,B0000016D,34658.03,USD,manual
B0000017,1,2024-05-13,2024-05-13,610000,S.ELFASI,office supplies,B0000017D,-99339.68,USD,manual
B0000017,2,2024-05-13,2024-05-13,51410000,S.ELFASI,office supplies,B0000017D,99339.68,USD,manual
B0000018,1,2024-06-09,2024-06-09,610000,K.MANSOURI,service fee,B0000018D,-18005.60,USD,manual
B0000018,2,2024-06-09,2024-06-09,51410000,K.MANSOURI,service fee,B0000018D,18005.60,USD,manual
B0000019,1,2024-02-02,2024-02-02,420000,K.MANSOURI,utility fee,B0000019D,-5230.80,USD,manual
B0000019,2,2024-02-02,2024-02-02,51410000,K.MANSOURI,utility fee,B0000019D,5230.80,USD,manual
B0000020,1,2024-10-03,2024-10-03,620000,H.AITLA,rent charge,B0000020D,-94777.18,USD,manual
B0000020,2,2024-10-03,2024-10-03,51410000,H.AITLA,rent charge,B0000020D,94777.18,USD,manual
B0000021,1,2024-03-07,2024-03-07,610000,S.ELFASI,service fee,B0000021D,-19692.65,USD,manual
B0000021,2,2024-03-07,2024-03-07,51410000,S.ELFASI,service fee,B0000021D,19692.65,USD,manual
B0000022,1,2024-04-18,2024-04-18,620000,K.MANSOURI,utility fee,B0000022D,-18853.27,USD,manual
B0000022,2,2024-04-18,2024-04-18,51410000,K.MANSOURI,utility fee,B0000022D,18853.27,USD,manual
B0000023,1,2024-04-01,2024-04-01,610000,M.BENNANI,rent charge,B0000023D,-35454.89,USD,manual
B0000023,2,2024-04-01,2024-04-01,51410000,M.BENNANI,rent charge,B0000023D,35454.89,USD,manual
B0000024,1,2024-05-24,2024-05-24,400000,IDOC_AUTO,rent charge,B0000024D,-36813.26,USD,system
B0000024,2,2024-05-24,2024-05-24,51410000,IDOC_AUTO,rent charge,B0000024D,36813.26,USD,system
B0000025,1,2024-11-13,2024-11-13,620000,M.BENNANI,office supplies,B0000025D,-60608.57,USD,manual
B0000025,2,2024-11-13,2024-11-13,51410000,M.BENNANI,office supplies,B0000025D,60608.57,USD,manual
B0000026,1,2024-03-14,2024-03-14,610000,K.MANSOURI,supplier invoice,B0000026D,-12722.21,USD,manual
B0000026,2,2024-03-14,2024-03-14,51410000,K.MANSOURI,supplier invoice,B0000026D,12722.21,USD,manual
B0000027,1,2024-02-11,2024-02-11,420000,H.AITLA,supplier invoice,B0000027D,-30773.12,USD,manual
B0000027,2,2024-02-11,2024-02-11,51410000,H.AITLA,supplier invoice,B0000027D,30773.12,USD,manual
B0000028,1,2024-02-01,2024-02-01,450000,Z.BERRADA,utility fee,B0000028D,-33640.29,USD,manual
B0000028,2,2024-02-01,2024-02-01,51410000,Z.BERRADA,utility fee,B0000028D,33640.29,USD,manual
B0000029,1,2024-06-07,2024-06-07,420000,O.KADIRI,service fee,B0000029D,-34336.78,USD,manual
B0000029,2,2024-06-07,2024-06-07,51410000,O.KADIRI,service fee,B0000029D,34336.78,USD,manual
B0000030,1,2024-10-23,2024-10-23,620000,S.ELFASI,utility fee,B0000030D,-18724.72,USD,manual
B0000030,2,2024-10-23,2024-10-23,51410000,S.ELFASI,utility fee,B0000030D,18724.72,USD,manual
B0000031,1,2024-06-17,2024-06-17,450000,H.AITLA,service fee,B0000031D,-38033.34,USD,manual
B0000031,2,2024-06-17,2024-06-17,51410000,H.AITLA,service fee,B0000031D,38033.34,USD,manual
B0000032,1,2024-02-13,2024-02-13,450000,Z.BERRADA,service fee,B0000032D,-3062.44,USD,manual
B0000032,2,2024-02-13,2024-02-13,51410000,Z.BERRADA,service fee,B0000032D,3062.44,USD,manual
B0000033,1,2024-03-07,2024-03-07,450000,M.BENNANI,office supplies,B0000033D,-20148.38,USD,manual
B0000033,2,2024-03-07,2024-03-07,51410000,M.BENNANI,office supplies,B0000033D,20148.38,USD,manual
B0000034,1,2024-01-26,2024-01-26,620000,K.MANSOURI,rent charge,B0000034D,-13189.13,USD,manual
B0000034,2,2024-01-26,2024-01-26,51410000,K.MANSOURI,rent charge,B0000034D,13189.13,USD,manual
B0000035,1,2024-10-25,2024-10-25,450000,S.ELFASI,office supplies,B0000035D,-48967.58,USD,manual
B0000035,2,2024-10-25,2024-10-25,51410000,S.ELFASI,office supplies,B0000035D,48967.58,USD,manual
B0000036,1,2024-06-18,2024-06-18,610000,Z.BERRADA,utility fee,B0000036D,-39300.30,USD,manual
B0000036,2,2024-06-18,2024-06-18,51410000,Z.BERRADA,utility fee,B0000036D,39300.30,USD,manual
B0000037,1,2024-12-01,2024-12-01,450000,Z.BERRADA,service fee,B0000037D,-10879.62,USD,manual
B0000037,2,2024-12-01,2024-12-01,51410000,Z.BERRADA,service fee,B0000037D,10879.62,USD,manual
B0000038,1,2024-07-08,2024-07-08,620000,Z.BERRADA,rent charge,B0000038D,-28083.59,USD,manual
B0000038,2,2024-07-08,2024-07-08,51410000,Z.BERRADA,rent charge,B0000038D,28083.59,USD,manual
B0000039,1,2024-08-26,2024-08-26,420000,K.MANSOURI,rent charge,B0000039D,-39172.78,USD,manual
B0000039,2,2024-08-26,2024-08-26,51410000,K.MANSOURI,rent charge,B0000039D,39172.78,USD,manual
B0000040,1,2024-02-12,2024-02-12,450000,K.MANSOURI,utility fee,B0000040D,-62786.01,USD,manual
B0000040,2,2024-02-12,2024-02-12,51410000,K.MANSOURI,utility fee,B0000040D,62786.01,USD,manual
B0000041,1,2024-11-08,2024-11-08,450000,M.BENNANI,utility fee,B0000041D,-22284.99,USD,manual
B0000041,2,2024-11-08,2024-11-08,51410000,M.BENNANI,utility fee,B0000041D,22284.99,USD,manual
B0000042,1,2024-06-14,2024-06-14,610000,H.AITLA,utility fee,B0000042D,-40286.15,USD,manual
B0000042,2,2024-06-14,2024-06-14,51410000,H.AITLA,utility fee,B0000042D,40286.15,USD,manual
B0000043,1,2024-07-01,2024-07-01,620000,WF-BATCH,supplier invoice,B0000043D,-110513.31,USD,system
B0000043,2,2024-07-01,2024-07-01,51410000,WF-BATCH,supplier invoice,B0000043D,110513.31,USD,system
B0000044,1,2024-05-09,2024-05-09,400000,K.MANSOURI,rent charge,B0000044D,-29502.39,USD,manual
B0000044,2,2024-05-09,2024-05-09,51410000,K.MANSOURI,rent charge,B0000044D,29502.39,USD,manual
B0000045,1,2024-11-01,2024-11-01,610000,H.AITLA,service fee,B0000045D,-8678.63,USD,manual
B0000045,2,2024-11-01,2024-11-01,51410000,H.AITLA,service fee,B0000045D,8678.63,USD,manual
B0000046,1,2024-08-08,2024-08-08,420000,K.MANSOURI,supplier invoice,B0000046D,-90175.66,USD,manual
B0000046,2,2024-08-08,2024-08-08,51410000,K.MANSOURI,supplier invoice,B0000046D,90175.66,USD,manual
B0000047,1,2024-09-01,2024-09-01,420000,K.MANSOURI,service fee,B0000047D,-14441.10,USD,manual
B0000047,2,2024-09-01,2024-09-01,51410000,K.MANSOURI,service fee,B0000047D,14441.10,USD,manual
B0000048,1,2024-12-15,2024-12-15,620000,H.AITLA,rent charge,B0000048D,-10416.94,USD,manual
B0000048,2,2024-12-15,2024-12-15,51410000,H.AITLA,rent charge,B0000048D,10416.94,USD,manual
