REF,LINE,DATE,DOCDAT,ACCT,USER,DESC,DOCREF,AMOUNT,CUR,TYPE
B0000000,1,2024-06-21,2024-06-21,610000,S.ELFASI,rent charge,B0000000D,-40307.09,USD,manual
B0000000,2,2024-06-21,2024-06-21,51410000,S.ELFASI,rent charge,B0000000D,40307.09,USD,manual
B0000001,1,2024-04-08,2024-04-08,450000,K.MANSOURI,utility fee,B0000001D,-62807.42,USD,manual
B0000001,2,2024-04-08,2024-04-08,51410000,K.MANSOURI,utility fee,B0000001D,62807.42,USD,manual
B0000002,1,2024-01-15,2024-01-15,450000,K.MANSOURI,utility fee,B0000002D,-26227.99,USD,manual
B0000002,2,2024-01-15,2024-01-15,51410000,K.MANSOURI,utility fee,B0000002D,26227.99,USD,manual
B0000003,1,2024-02-05,2024-02-05,400000,K.MANSOURI,office supplies,B0000003D,-28419.69,USD,manual
B0000003,2,2024-02-05,2024-02-05,51410000,K.MANSOURI,office supplies,B0000003D,28419.69,USD,manual
B0000004,1,2024-08-02,2024-08-02,420000,H.AITLA,rent charge,B0000004D,-19731.95,USD,manual
B0000004,2,2024-08-02,2024-08-02,51410000,H.AITLA,rent charge,B0000004D,19731.95,USD,manual
B0000005,1,2024-06-16,2024-06-16,620000,S.ELFASI,rent charge,B0000005D,-12001.90,USD,manual
B0000005,2,2024-06-16,2024-06-16,51410000,S.ELFASI,rent charge,B0000005D,12001.90,USD,manual
B0000006,1,2024-07-21,2024-07-21,400000,Z.BERRADA,utility fee,B0000006D,-32204.79,USD,manual
B0000006,2,2024-07-21,2024-07-21,51410000,Z.BERRADA,utility fee,B0000006D,32204.79,USD,manual
B0000007,1,2024-05-02,2024-05-02,400000,S.ELFASI,service fee,B0000007D,-18600.97,USD,manual
B0000007,2,2024-05-02,2024-05-02,51410000,S.ELFASI,service fee,B0000007D,18600.97,USD,manual
B0000008,1,2024-01-02,2024-01-02,610000,S.ELFASI,supplier invoice,B0000008D,-24007.46,USD,manual
B0000008,2,2024-01-02,2024-01-02,51410000,S.ELFASI,supplier invoice,B0000008D,24007.46,USD,manual
B0000009,1,2024-07-12,2024-07-12,420000,S.ELFASI,rent charge,B0000009D,-35164.82,USD,manual
B0000009,2,2024-07-12,2024-07-12,51410000,S.ELFASI,rent charge,B0000009D,35164.82,USD,manual
B0000010,1,2024-01-19,2024-01-19,450000,Z.BERRADA,office supplies,B0000010D,-15401.15,USD,manual
B0000010,2,2024-01-19,2024-01-19,51410000,Z.BERRADA,office supplies,B0000010D,15401.15,USD,manual
B0000011,1,2024-08-15,2024-08-15,620000,M.BENNANI,supplier invoice,B0000011D,-85665.46,USD,manual
B0000011,2,2024-08-15,2024-08-15,51410000,M.BENNANI,supplier invoice,B0000011D,85665.46,USD,manual
B0000012,1,2024-12-15,2024-12-15,400000,Z.BERRADA,rent charge,B0000012D,-28646.95,USD,manual
B0000012,2,2024-12-15,2024-12-15,51410000,Z.BERRADA,rent charge,B0000012D,28646.95,USD,manual
B0000013,1,2024-04-10,2024-04-10,450000,S.ELFASI,service fee,B0000013D,-41584.36,USD,manual
B0000013,2,2024-04-10,2024-04-10,51410000,S.ELFASI,service fee,B0000013D,41584.36,USD,manual
B0000014,1,2024-08-07,2024-08-07,620000,M.BENNANI,office supplies,B0000014D,-16737.81,USD,manual
B0000014,2,2024-08-07,2024-08-07,51410000,M.BENNANI,office supplies,B0000014D,16737.81,USD,manual
B0000015,1,2024-06-23,2024-06-23,400000,H.AITLA,service fee,B0000015D,-18700.93,USD,manual
B0000015,2,2024-06-23,2024-06-23,51410000,H.AITLA,service fee,B0000015D,18700.93,USD,manual
B0000016,1,2024-04-14,2024-04-14,620000,H.AITLA,office supplies,B0000016D,-5452.09,USD,manual
B0000016,2,2024-04-14,2024-04-14,51410000,H.AITLA,office supplies,B0000016D,5452.09,USD,manual
B0000017,1,2024-08-15,2024-08-15,420000,M.BENNANI,supplier invoice,B0000017D,-39722.94,USD,manual
B0000017,2,2024-08-15,2024-08-15,51410000,M.BENNANI,supplier invoice,B0000017D,39722.94,USD,manual
B0000018,1,2024-01-14,2024-01-14,610000,K.MANSOURI,utility fee,B0000018D,-24537.78,USD,manual
B0000018,2,2024-01-14,2024-01-14,51410000,K.MANSOURI,utility fee,B0000018D,24537.78,USD,manual
B0000019,1,2024-12-05,2024-12-05,400000,S.ELFASI,supplier invoice,B0000019D,-8674.95,USD,manual
B0000019,2,2024-12-05,2024-12-05,51410000,S.ELFASI,supplier invoice,B0000019D,8674.95,USD,manual
B0000020,1,2024-02-05,2024-02-05,610000,K.MANSOURI,service fee,B0000020D,-37660.36,USD,manual
B0000020,2,2024-02-05,2024-02-05,51410000,K.MANSOURI,service fee,B0000020D,37660.36,USD,manual
B0000021,1,2024-08-25,2024-08-25,610000,K.MANSOURI,utility fee,B0000021D,-32375.59,USD,manual
B0000021,2,2024-08-25,2024-08-25,51410000,K.MANSOURI,utility fee,B0000021D,32375.59,USD,manual
B0000022,1,2024-02-25,2024-02-25,400000,S.ELFASI,rent charge,B0000022D,-51310.31,USD,manual
B0000022,2,2024-02-25,2024-02-25,51410000,S.ELFASI,rent charge,B0000022D,51310.31,USD,manual
B0000023,1,2024-08-01,2024-08-01,620000,Z.BERRADA,service fee,B0000023D,-35043.74,USD,manual
B0000023,2,2024-08-01,2024-08-01,51410000,Z.BERRADA,service fee,B0000023D,35043.74,USD,manual
B0000024,1,2024-02-26,2024-02-26,420000,Z.BERRADA,supplier invoice,B0000024D,-19216.24,USD,manual
B0000024,2,2024-02-26,2024-02-26,51410000,Z.BERRADA,supplier invoice,B0000024D,19216.24,USD,manual
B0000025,1,2024-01-21,2024-01-21,420000,M.BENNANI,service fee,B0000025D,-10775.47,USD,manual
B0000025,2,2024-01-21,2024-01-21,51410000,M.BENNANI,service fee,B0000025D,10775.47,USD,manual
B0000026,1,2024-01-21,2024-01-21,610000,Z.BERRADA,supplier invoice,B0000026D,-7321.32,USD,manual
B0000026,2,2024-01-21,2024-01-21,51410000,Z.BERRADA,supplier invoice,B0000026D,7321.32,USD,manual
B0000027,1,2024-07-17,2024-07-17,450000,K.MANSOURI,rent charge,B0000027D,-7666.62,USD,manual
B0000027,2,2024-07-17,2024-07-17,51410000,K.MANSOURI,rent charge,B0000027D,7666.62,USD,manual
B0000028,1,2024-12-19,2024-12-19,400000,S.ELFASI,office supplies,B0000028D,-7052.15,USD,manual
B0000028,2,2024-12-19,2024-12-19,51410000,S.ELFASI,office supplies,B0000028D,7052.15,USD,manual
B0000029,1,2024-09-20,2024-09-20,450000,K.MANSOURI,utility fee,B0000029D,-16782.35,USD,manual
B0000029,2,2024-09-20,2024-09-20,51410000,K.MANSOURI,utility fee,B0000029D,16782.35,USD,manual
B0000030,1,2024-10-24,2024-10-24,420000,M.BENNANI,office supplies,B0000030D,-40809.13,USD,manual
B0000030,2,2024-10-24,2024-10-24,51410000,M.BENNANI,office supplies,B0000030D,40809.13,USD,manual
B0000031,1,2024-09-15,2024-09-15,610000,SAP_JOB,office supplies,B0000031D,-3890.38,USD,system
B0000031,2,2024-09-15,2024-09-15,51410000,SAP_JOB,office supplies,B0000031D,3890.38,USD,system
B0000032,1,2024-10-07,2024-10-07,620000,K.MANSOURI,service fee,B0000032D,-40953.63,USD,manual
B0000032,2,2024-10-07,2024-10-07,51410000,K.MANSOURI,service fee,B0000032D,40953.63,USD,manual
B0000033,1,2024-12-23,2024-12-23,610000,M.BENNANI,office supplies,B0000033D,-15112.41,USD,manual
B0000033,2,2024-12-23,2024-12-23,51410000,M.BENNANI,office supplies,B0000033D,15112.41,USD,manual
B0000034,1,2024-09-01,2024-09-01,610000,K.MANSOURI,rent charge,B0000034D,-9864.30,USD,manual
B0000034,2,2024-09-01,2024-09-01,51410000,K.MANSOURI,rent charge,B0000034D,9864.30,USD,manual
B0000035,1,2024-01-01,2024-01-01,620000,IDOC_AUTO,rent charge,B0000035D,-41007.75,USD,system
B0000035,2,2024-01-01,2024-01-01,51410000,IDOC_AUTO,rent charge,B0000035D,41007.75,USD,system
B0000036,1,2024-04-19,2024-04-19,450000,M.BENNANI,rent charge,B0000036D,-6532.15,USD,manual
B0000036,2,2024-04-19,2024-04-19,51410000,M.BENNANI,rent charge,B0000036D,6532.15,USD,manual
B0000037,1,2024-11-17,2024-11-17,400000,Z.BERRADA,service fee,B0000037D,-18197.67,USD,manual
B0000037,2,2024-11-17,2024-11-17,51410000,Z.BERRADA,service fee,B0000037D,18197.67,USD,manual
B0000038,1,2024-09-11,2024-09-11,420000,S.ELFASI,service fee,B0000038D,-32002.21,USD,manual
B0000038,2,2024-09-11,2024-09-11,51410000,S.ELFASI,service fee,B0000038D,32002.21,USD,manual
B0000039,1,2024-09-10,2024-09-10,420000,Z.BERRADA,rent charge,B0000039D,-10606.64,USD,manual
B0000039,2,2024-09-10,2024-09-10,51410000,Z.BERRADA,rent charge,B0000039D,10606.64,USD,manual
B0000040,1,2024-06-19,2024-06-19,620000,Z.BERRADA,supplier invoice,B0000040D,-106393.23,USD,manual
B0000040,2,2024-06-19,2024-06-19,51410000,Z.BERRADA,supplier invoice,B0000040D,106393.23,USD,manual
B0000041,1,2024-02-24,2024-02-24,450000,K.MANSOURI,service fee,B0000041D,-21411.20,USD,manual
B0000041,2,2024-02-24,2024-02-24,51410000,K.MANSOURI,service fee,B0000041D,21411.20,USD,manual
B0000042,1,2024-07-02,2024-07-02,610000,M.BENNANI,rent charge,B0000042D,-21467.78,USD,manual
B0000042,2,2024-07-02,2024-07-02,51410000,M.BENNANI,rent charge,B0000042D,21467.78,USD,manual
B0000043,1,2024-04-24,2024-04-24,610000,Z.BERRADA,supplier invoice,B0000043D,-40384.02,USD,manual
B0000043,2,2024-04-24,2024-04-24,51410000,Z.BERRADA,supplier invoice,B0000043D,40384.02,USD,manual
B0000044,1,2024-04-22,2024-04-22,620000,Z.BERRADA,supplier invoice,B0000044D,-34380.58,USD,manual
B0000044,2,2024-04-22,2024-04-22,51410000,Z.BERRADA,supplier invoice,B0000044D,34380.58,USD,manual
B0000045,1,2024-05-23,2024-05-23,610000,K.MANSOURI,rent charge,B0000045D,-11446.06,USD,manual
B0000045,2,2024-05-23,2024-05-23,51410000,K.MANSOURI,rent charge,B0000045D,11446.06,USD,manual
B0000046,1,2024-01-15,2024-01-15,450000,M.BENNANI,rent charge,B0000046D,-111574.68,USD,manual
B0000046,2,2024-01-15,2024-01-15,51410000,M.BENNANI,rent charge,B0000046D,111574.68,USD,manual
B0000047,1,2024-06-01,2024-06-01,420000,Z.BERRADA,supplier invoice,B0000047D,-70232.05,USD,manual
B0000047,2,2024-06-01,2024-06-01,51410000,Z.BERRADA,supplier invoice,B0000047D,70232.05,USD,manual
B0000048,1,2024-04-21,2024-04-21,610000,IDOC_AUTO,supplier invoice,B0000048D,-13522.48,USD,system
B0000048,2,2024-04-21,2024-04-21,51410000,IDOC_AUTO,supplier invoice,B0000048D,13522.48,USD,system
B0000049,1,2024-08-26,2024-08-26,400000,Z.BERRADA,office supplies,B0000049D,-41260.21,USD,manual
B0000049,2,2024-08-26,2024-08-26,51410000,Z.BERRADA,office supplies,B0000049D,41260.21,USD,manual
B0000050,1,2024-06-23,2024-06-23,610000,H.AITLA,supplier invoice,B0000050D,-42363.62,USD,manual
B0000050,2,2024-06-23,2024-06-23,51410000,H.AITLA,supplier invoice,B0000050D,42363.62,USD,manual
B0000051,1,2024-10-23,2024-10-23,420000,S.ELFASI,rent charge,B0000051D,-23775.00,USD,manual
B0000051,2,2024-10-23,2024-10-23,51410000,S.ELFASI,rent charge,B0000051D,23775.00,USD,manual
B0000052,1,2024-06-13,2024-06-13,620000,H.AITLA,rent charge,B0000052D,-28921.20,USD,manual
B0000052,2,2024-06-13,2024-06-13,51410000,H.AITLA,rent charge,B0000052D,28921.20,USD,manual
B0000053,1,2024-02-11,2024-02-11,400000,M.BENNANI,utility fee,B0000053D,-9566.34,USD,manual
B0000053,2,2024-02-11,2024-02-11,51410000,M.BENNANI,utility fee,B0000053D,9566.34,USD,manual
B0000054,1,2024-06-03,2024-06-03,450000,Z.BERRADA,rent charge,B0000054D,-36352.99,USD,manual
B0000054,2,2024-06-03,2024-06-03,51410000,Z.BERRADA,rent charge,B0000054D,36352.99,USD,manual
B0000055,1,2024-11-08,2024-11-08,620000,Z.BERRADA,rent charge,B0000055D,-9689.39,USD,manual
B0000055,2,2024-11-08,2024-11-08,51410000,Z.BERRADA,rent charge,B0000055D,9689.39,USD,manual
B0000056,1,2024-06-05,2024-06-05,620000,WF-BATCH,rent charge,B0000056D,-37943.95,USD,system
B0000056,2,2024-06-05,2024-06-05,51410000,WF-BATCH,rent charge,B0000056D,37943.95,USD,system
B0000057,1,2024-04-09,2024-04-09,620000,Z.BERRADA,utility fee,B0000057D,-32222.64,USD,manual
B0000057,2,2024-04-09,2024-04-09,51410000,Z.BERRADA,utility fee,B0000057D,32222.64,USD,manual
B0000058,1,2024-11-18,2024-11-18,620000,Z.BERRADA,service fee,B0000058D,-14370.73,USD,manual
B0000058,2,2024-11-18,2024-11-18,51410000,Z.BERRADA,service fee,B0000058D,14370.73,USD,manual
B0000059,1,2024-01-21,2024-01-21,610000,M.BENNANI,utility fee,B0000059D,-239488.35,USD,manual
B0000059,2,2024-01-21,2024-01-21,51410000,M.BENNANI,utility fee,B0000059D,239488.35,USD,manual
B0000060,1,2024-11-23,2024-11-23,400000,K.MANSOURI,utility fee,B0000060D,-17829.00,USD,manual
B0000060,2,2024-11-23,2024-11-23,51410000,K.MANSOURI,utility fee,B0000060D,17829.00,USD,manual
B0000061,1,2024-01-06,2024-01-06,450000,M.BENNANI,rent charge,B0000061D,-32586.66,USD,manual
B0000061,2,2024-01-06,2024-01-06,51410000,M.BENNANI,rent charge,B0000061D,32586.66,USD,manual
B0000062,1,2024-09-14,2024-09-14,450000,Z.BERRADA,supplier invoice,B0000062D,-31610.11,USD,manual
B0000062,2,2024-09-14,2024-09-14,51410000,Z.BERRADA,supplier invoice,B0000062D,31610.11,USD,manual
B0000063,1,2024-02-15,2024-02-15,620000,WF-BATCH,office supplies,B0000063D,-72924.28,USD,system
B0000063,2,2024-02-15,2024-02-15,51410000,WF-BATCH,office supplies,B0000063D,72924.28,USD,system
B0000064,1,2024-09-09,2024-09-09,610000,Z.BERRADA,rent charge,B0000064D,-17198.28,USD,manual
B0000064,2,2024-09-09,2024-09-09,51410000,Z.BERRADA,rent charge,B0000064D,17198.28,USD,manual
B0000065,1,2024-06-15,2024-06-15,620000,M.BENNANI,service fee,B0000065D,-25067.48,USD,manual
B0000065,2,2024-06-15,2024-06-15,51410000,M.BENNANI,service fee,B0000065D,25067.48,USD,manual
B0000066,1,2024-12-04,2024-12-04,420000,IDOC_AUTO,rent charge,B0000066D,-25298.79,USD,system
B0000066,2,2024-12-04,2024-12-04,51410000,IDOC_AUTO,rent charge,B0000066D,25298.79,USD,system
B0000067,1,2024-03-23,2024-03-23,420000,Z.BERRADA,rent charge,B0000067D,-34484.04,USD,manual
B0000067,2,2024-03-23,2024-03-23,51410000,Z.BERRADA,rent charge,B0000067D,34484.04,USD,manual
B0000068,1,2024-08-18,2024-08-18,400000,Z.BERRADA,utility fee,B0000068D,-6838.08,USD,manual
B0000068,2,2024-08-18,2024-08-18,51410000,Z.BERRADA,utility fee,B0000068D,6838.08,USD,manual
B0000069,1,2024-01-02,2024-01-02,610000,S.ELFASI,supplier invoice,B0000069D,-119885.17,USD,manual
B0000069,2,2024-01-02,2024-01-02,51410000,S.ELFASI,supplier invoice,B0000069D,119885.17,USD,manual
B0000070,1,2024-09-24,2024-09-24,610000,Z.BERRADA,utility fee,B0000070D,-41125.19,USD,manual
