REF,LINE,DATE,ACCT,USER,DESC,DOCREF,AMOUNT,CUR,TYPE
B0000000,1,2024-06-07,610000,H.AITLA,utility fee,B0000000D,-9711.17,USD,manual
B0000000,2,2024-06-07,51410000,H.AITLA,utility fee,B0000000D,9711.17,USD,manual
B0000001,1,2024-11-21,620000,S.ELFASI,rent charge,B0000001D,-31699.81,USD,manual
B0000001,2,2024-11-21,51410000,S.ELFASI,rent charge,B0000001D,31699.81,USD,manual
B0000002,1,2024-03-18,420000,H.AITLA,service fee,B0000002D,-5630.49,USD,manual
B0000002,2,2024-03-18,51410000,H.AITLA,service fee,B0000002D,5630.49,USD,manual
B0000003,1,2024-10-11,620000,S.ELFASI,supplier invoice,B0000003D,-8837.91,USD,manual
B0000003,2,2024-10-11,51410000,S.ELFASI,supplier invoice,B0000003D,8837.91,USD,manual
B0000004,1,2024-05-13,400000,Z.BERRADA,office supplies,B0000004D,-26186.85,USD,manual
B0000004,2,2024-05-13,51410000,Z.BERRADA,office supplies,B0000004D,26186.85,USD,manual
B0000005,1,2024-01-04,610000,S.ELFASI,supplier invoice,B0000005D,-31019.80,USD,manual
B0000005,2,2024-01-04,51410000,S.ELFASI,supplier invoice,B0000005D,31019.80,USD,manual
B0000006,1,2024-02-06,450000,M.BENNANI,supplier invoice,B0000006D,-36075.53,USD,manual
B0000006,2,2024-02-06,51410000,M.BENNANI,supplier invoice,B0000006D,36075.53,USD,manual
B0000007,1,2024-09-24,620000,M.BENNANI,service fee,B0000007D,-10548.26,USD,manual
B0000007,2,2024-09-24,51410000,M.BENNANI,service fee,B0000007D,10548.26,USD,manual
B0000008,1,2024-08-03,610000,S.ELFASI,supplier invoice,B0000008D,-41029.09,USD,manual
B0000008,2,2024-08-03,51410000,S.ELFASI,supplier invoice,B0000008D,41029.09,USD,manual
B0000009,1,2024-08-25,450000,H.AITLA,office supplies,B0000009D,-23083.68,USD,manual
B0000009,2,2024-08-25,51410000,H.AITLA,office supplies,B0000009D,23083.68,USD,manual
B0000010,1,2024-05-16,450000,S.ELFASI,rent charge,B0000010D,-17252.15,USD,manual
B0000010,2,2024-05-16,51410000,S.ELFASI,rent charge,B0000010D,17252.15,USD,manual
B0000011,1,2024-10-12,450000,M.BENNANI,office supplies,B0000011D,-5893.54,USD,manual
B0000011,2,2024-10-12,51410000,M.BENNANI,office supplies,B0000011D,5893.54,USD,manual
B0000012,1,2024-07-21,620000,Z.BERRADA,rent charge,B0000012D,-26527.49,USD,manual
B0000012,2,2024-07-21,51410000,Z.BERRADA,rent charge,B0000012D,26527.49,USD,manual
B0000013,1,2024-05-21,400000,H.AITLA,rent charge,B0000013D,-26520.56,USD,manual
B0000013,2,2024-05-21,51410000,H.AITLA,rent charge,B0000013D,26520.56,USD,manual
B0000014,1,2024-04-02,450000,K.MANSOURI,rent charge,B0000014D,-11862.25,USD,manual
B0000014,2,2024-04-02,51410000,K.MANSOURI,rent charge,B0000014D,11862.25,USD,manual
B0000015,1,2024-07-22,610000,M.BENNANI,service fee,B0000015D,-24932.11,USD,manual
B0000015,2,2024-07-22,51410000,M.BENNANI,service fee,B0000015D,24932.11,USD,manual
B0000016,1,2024-02-15,400000,K.MANSOURI,utility fee,B0000016D,-36824.66,USD,manual
B0000016,2,2024-02-15,51410000,K.MANSOURI,utility fee,B0000016D,36824.66,USD,manual
B0000017,1,2024-06-20,400000,K.MANSOURI,office supplies,B0000017D,-30088.23,USD,manual
B0000017,2,2024-06-20,51410000,K.MANSOURI,office supplies,B0000017D,30088.23,USD,manual
B0000018,1,2024-10-23,620000,H.AITLA,supplier invoice,B0000018D,-20406.23,USD,manual
B0000018,2,2024-10-23,51410000,H.AITLA,supplier invoice,B0000018D,20406.23,USD,manual
B0000019,1,2024-06-11,610000,M.BENNANI,supplier invoice,B0000019D,-16915.32,USD,manual
B0000019,2,2024-06-11,51410000,M.BENNANI,supplier invoice,B0000019D,16915.32,USD,manual
B0000020,1,2024-10-17,620000,Z.BERRADA,office supplies,B0000020D,-35298.37,USD,manual
B0000020,2,2024-10-17,51410000,Z.BERRADA,office supplies,B0000020D,35298.37,USD,manual
B0000021,1,2024-10-11,400000,Z.BERRADA,utility fee,B0000021D,-36308.31,USD,manual
B0000021,2,2024-10-11,51410000,Z.BERRADA,utility fee,B0000021D,36308.31,USD,manual
B0000022,1,2024-09-24,610000,K.MANSOURI,supplier invoice,B0000022D,-40730.21,USD,manual
B0000022,2,2024-09-24,51410000,K.MANSOURI,supplier invoice,B0000022D,40730.21,USD,manual
B0000023,1,2024-10-15,400000,M.BENNANI,rent charge,B0000023D,-39396.09,USD,manual
B0000023,2,2024-10-15,51410000,M.BENNANI,rent charge,B0000023D,39396.09,USD,manual
B0000024,1,2024-11-11,400000,S.ELFASI,utility fee,B0000024D,-38032.61,USD,manual
B0000024,2,2024-11-11,51410000,S.ELFASI,utility fee,B0000024D,38032.61,USD,manual
B0000025,1,2024-11-15,420000,K.MANSOURI,service fee,B0000025D,-41584.36,USD,manual
B0000025,2,2024-11-15,51410000,K.MANSOURI,service fee,B0000025D,41584.36,USD,manual
B0000026,1,2024-06-19,420000,K.MANSOURI,office supplies,B0000026D,-20072.61,USD,manual
B0000026,2,2024-06-19,51410000,K.MANSOURI,office supplies,B0000026D,20072.61,USD,manual
B0000027,1,2024-03-02,610000,M.BENNANI,supplier invoice,B0000027D,-7440.99,USD,manual
B0000027,2,2024-03-02,51410000,M.BENNANI,supplier invoice,B0000027D,7440.99,USD,manual
B0000028,1,2024-03-19,620000,S.ELFASI,rent charge,B0000028D,-15551.16,USD,manual
B0000028,2,2024-03-19,51410000,S.ELFASI,rent charge,B0000028D,15551.16,USD,manual
B0000029,1,2024-07-10,620000,S.ELFASI,supplier invoice,B0000029D,-16617.47,USD,manual
B0000029,2,2024-07-10,51410000,S.ELFASI,supplier invoice,B0000029D,16617.47,USD,manual
B0000030,1,2024-04-18,620000,Z.BERRADA,supplier invoice,B0000030D,-7207.55,USD,manual
B0000030,2,2024-04-18,51410000,Z.BERRADA,supplier invoice,B0000030D,7207.55,USD,manual
B0000031,1,2024-09-14,610000,S.ELFASI,office supplies,B0000031D,-29458.30,USD,manual
B0000031,2,2024-09-14,51410000,S.ELFASI,office supplies,B0000031D,29458.30,USD,manual
B0000032,1,2024-07-07,420000,M.BENNANI,supplier invoice,B0000032D,-39723.52,USD,manual
B0000032,2,2024-07-07,51410000,M.BENNANI,supplier invoice,B0000032D,39723.52,USD,manual
B0000033,1,2024-01-09,620000,M.BENNANI,rent charge,B0000033D,-35575.28,USD,manual
B0000033,2,2024-01-09,51410000,M.BENNANI,rent charge,B0000033D,35575.28,USD,manual
B0000034,1,2024-01-16,610000,K.MANSOURI,service fee,B0000034D,-16914.28,USD,manual
B0000034,2,2024-01-16,51410000,K.MANSOURI,service fee,B0000034D,16914.28,USD,manual
B0000035,1,2024-08-23,620000,K.MANSOURI,rent charge,B0000035D,-20091.88,USD,manual
B0000035,2,2024-08-23,51410000,K.MANSOURI,rent charge,B0000035D,20091.88,USD,manual
B0000036,1,2024-04-22,450000,K.MANSOURI,utility fee,B0000036D,-14254.19,USD,manual
B0000036,2,2024-04-22,51410000,K.MANSOURI,utility fee,B0000036D,14254.19,USD,manual
B0000037,1,2024-01-05,610000,M.BENNANI,supplier invoice,B0000037D,-4357.91,USD,manual
B0000037,2,2024-01-05,51410000,M.BENNANI,supplier invoice,B0000037D,4357.91,USD,manual
B0000038,1,2024-01-13,400000,M.BENNANI,utility fee,B0000038D,-5352.96,USD,manual
B0000038,2,2024-01-13,51410000,M.BENNANI,utility fee,B0000038D,5352.96,USD,manual
B0000039,1,2024-11-10,620000,S.ELFASI,supplier invoice,B0000039D,-40576.33,USD,manual
B0000039,2,2024-11-10,51410000,S.ELFASI,supplier invoice,B0000039D,40576.33,USD,manual
B0000040,1,2024-09-24,610000,M.BENNANI,utility fee,B0000040D,-5854.96,USD,manual
B0000040,2,2024-09-24,51410000,M.BENNANI,utility fee,B0000040D,5854.96,USD,manual
B0000041,1,2024-12-21,420000,S.ELFASI,office supplies,B0000041D,-31328.84,USD,manual
B0000041,2,2024-12-21,51410000,S.ELFASI,office supplies,B0000041D,31328.84,USD,manual
B0000042,1,2024-02-15,400000,H.AITLA,supplier invoice,B0000042D,-15912.30,USD,manual
B0000042,2,2024-02-15,51410000,H.AITLA,supplier invoice,B0000042D,15912.30,USD,manual
B0000043,1,2024-10-15,620000,K.MANSOURI,utility fee,B0000043D,-31055.05,USD,manual
B0000043,2,2024-10-15,51410000,K.MANSOURI,utility fee,B0000043D,31055.05,USD,manual
B0000044,1,2024-08-05,620000,M.BENNANI,supplier invoice,B0000044D,-3428.22,USD,manual
B0000044,2,2024-08-05,51410000,M.BENNANI,supplier invoice,B0000044D,3428.22,USD,manual
B0000045,1,2024-05-19,450000,K.MANSOURI,service fee,B0000045D,-9060.41,USD,manual
B0000045,2,2024-05-19,51410000,K.MANSOURI,service fee,B0000045D,9060.41,USD,manual
B0000046,1,2024-05-23,610000,S.ELFASI,supplier invoice,B0000046D,-4165.49,USD,manual
B0000046,2,2024-05-23,51410000,S.ELFASI,supplier invoice,B0000046D,4165.49,USD,manual
B0000047,1,2024-11-09,400000,Z.BERRADA,service fee,B0000047D,-27587.79,USD,manual
B0000047,2,2024-11-09,51410000,Z.BERRADA,service fee,B0000047D,27587.79,USD,manual
B0000048,1,2024-12-18,620000,S.ELFASI,office supplies,B0000048D,-16992.78,USD,manual
B0000048,2,2024-12-18,51410000,S.ELFASI,office supplies,B0000048D,16992.78,USD,manual
B0000049,1,2024-10-02,620000,H.AITLA,rent charge,B0000049D,-14078.17,USD,manual
B0000049,2,2024-10-02,51410000,H.AITLA,rent charge,B0000049D,14078.17,USD,manual
B0000050,1,2024-02-02,610000,S.ELFASI,service fee,B0000050D,-37074.79,USD,manual
B0000050,2,2024-02-02,51410000,S.ELFASI,service fee,B0000050D,37074.79,USD,manual
B0000051,1,2024-07-14,620000,K.MANSOURI,service fee,B0000051D,-17659.95,USD,manual
B0000051,2,2024-07-14,51410000,K.MANSOURI,service fee,B0000051D,17659.95,USD,manual
B0000052,1,2024-01-19,400000,M.BENNANI,rent charge,B0000052D,-33835.01,USD,manual
B0000052,2,2024-01-19,51410000,M.BENNANI,rent charge,B0000052D,33835.01,USD,manual
B0000053,1,2024-08-02,610000,Z.BERRADA,service fee,B0000053D,-36153.89,USD,manual
B0000053,2,2024-08-02,51410000,Z.BERRADA,service fee,B0000053D,36153.89,USD,manual
B0000054,1,2024-04-07,400000,S.ELFASI,office supplies,B0000054D,-16280.65,USD,manual
B0000054,2,2024-04-07,51410000,S.ELFASI,office supplies,B0000054D,16280.65,USD,manual
B0000055,1,2024-09-16,620000,H.AITLA,utility fee,B0000055D,-3543.00,USD,manual
B0000055,2,2024-09-16,51410000,H.AITLA,utility fee,B0000055D,3543.00,USD,manual
B0000056,1,2024-07-11,450000,H.AITLA,office supplies,B0000056D,-27376.36,USD,manual
B0000056,2,2024-07-11,51410000,H.AITLA,office supplies,B0000056D,27376.36,USD,manual
B0000057,1,2024-04-08,420000,Z.BERRADA,service fee,B0000057D,-7198.39,USD,manual
B0000057,2,2024-04-08,51410000,Z.BERRADA,service fee,B0000057D,7198.39,USD,manual
B0000058,1,2024-10-24,400000,S.ELFASI,office supplies,B0000058D,-35465.90,USD,manual
